権利付最終日,銘柄コード,銘柄名,市場,貸借,始値,始値/前日終値,前日出来高,時価総額,発行株数,PER,PBR,単位,逆日歩_料率,逆日歩_日数,日証金_当日買い残高,日証金_当日買い新規,日証金_当日売り残高,日証金_当日売り新規,日証金_当日残高倍率,日証金_前日買い残高,日証金_前日買い新規,日証金_前日売り残高,日証金_前日売り新規,日証金_前日残高倍率,逆日歩確報
2013-01-15,2590,ダイドーグループホールディングス,東1,貸借,3625.0,0.9917241379310344,69100.0,60060810000.0,16568499.310344828,13.62,0.78,100,0.0,3,3100.0,400.0,0.0,0.0,-1.0,8400.0,1600.0,0.0,0.0,-1.0,0.0
2013-01-15,7590,タカショー,東1,制度,459.0,1.0,97000.0,4626630000.0,10079803.921568628,10.95,0.8,100,0.0,3,,,,,,,,,,,0.0
2013-01-28,1433,ベステラ,東1,制度,,,,,,,,100,0.0,1,,,,,,,,,,,0.0
2013-01-28,1928,積水ハウス,東1,貸借,1012.0,0.9911067193675892,4282000.0,685007690000.0,676885069.1699605,14.74,0.85,100,0.05,1,139000.0,43000.0,2485000.0,2352000.0,0.06,129000.0,38000.0,143000.0,115000.0,0.9,0.05
2013-01-28,3070,アマガサ,JQG,制度,951.0,1.017875920084122,600.0,1824960000.0,1918990.5362776024,9.6,1.0,100,0.0,1,,,,,,,,,,,0.0
2013-01-28,3071,ストリーム,東2,制度,114.0,0.9912280701754386,49000.0,2445300000.0,21450000.0,-1.0,4.5,100,0.0,1,86700.0,0.0,0.0,0.0,-1.0,88300.0,3000.0,0.0,0.0,-1.0,0.0
2013-01-28,3169,ミサワ,東1,制度,423.0,1.0094562647754135,33300.0,2644990000.0,6252931.4420803785,11.23,2.9,100,0.0,1,,,,,,,,,,,0.0
2013-01-28,3193,鳥貴族,東1,貸借,,,,,,,,100,0.0,1,,,,,,,,,,,0.0
2013-01-28,3246,コーセーアールイー,東1,制度,202.0,1.00990099009901,29600.0,1690330000.0,8367970.297029703,9.57,1.29,100,0.0,1,,,,,,,,,,,0.0
2013-01-28,3278,ケネディクス・レジデンシャル・ネクスト投資法人,東証,貸借,96000.0,1.0,1598.0,14484480000.0,150880.0,31.24,1.02,1,0.0,1,368.0,208.0,0.0,0.0,-1.0,358.0,16.0,0.0,0.0,-1.0,0.0
2013-01-28,3320,クロスプラス,東2,貸借,908.0,1.0,50500.0,7008670000.0,7718799.559471366,-1.0,0.41,100,16.0,1,2800.0,0.0,177400.0,130100.0,0.02,3600.0,1100.0,48700.0,20200.0,0.07,16.0
2013-01-28,3399,丸千代山岡家,JQS,制度,300.0,0.9933333333333332,6600.0,740700000.0,2469000.0,232.49,0.6,100,0.0,1,,,,,,,,,,,0.0
2013-01-28,3418,バルニバービ,東M,制度,,,,,,,,100,0.0,1,,,,,,,,,,,0.0
2013-01-28,3421,稲葉製作所,東1,制度,1135.0,1.0,21000.0,20341950000.0,17922422.907488987,15.93,0.62,100,0.0,1,5400.0,300.0,0.0,0.0,-1.0,9200.0,500.0,0.0,0.0,-1.0,0.0
2013-01-28,3455,ヘルスケア＆メディカル投資法人,東証,制度,,,,,,,,1,0.0,1,,,,,,,,,,,0.0
2013-01-28,3458,シーアールイー,東1,制度,,,,,,,,100,0.0,1,,,,,,,,,,,0.0
2013-01-28,3463,いちごホテルリート投資法人,東証,制度,,,,,,,,1,0.0,1,,,,,,,,,,,0.0
2013-01-28,3921,ネオジャパン,東1,制度,,,,,,,,100,0.0,1,,,,,,,,,,,0.0
