取引日,銘柄コード,銘柄名,規制,最高料率 臨時倍率,逆日歩(円),逆日歩(%),年率(%),最高料率(円),超過株数,貸借値段(円),品貸日数,日証金 買新規,日証金 買返済,日証金 買残高,日証金 売新規,日証金 売返済,日証金 売残高,日証金 差引残高,差引残高 出来高比(%),差引残高 前日比,前日比 出来高比(%),回転日数,貸借倍率,東証 出来高,東証 売買代金(円)
2020-12-28,1301,極洋,,,,,,,,2950,,0,0,2600,300,0,2200,400,1.75,-300,-1.31,12.4,1.18,22900,67092600
2020-12-28,1305,ＥＴＦ・ＴＰＸ,,,0,0,0,7,12670,1875,5,0,0,3000,0,0,15670,-12670,-7.08,0,0,16.7,0.19,178860,335093170
2020-12-28,1306,ＮＦＴＯＰＩＸ,,,0,0,0,7,22830,1856,5,0,10130,27900,8930,3380,50730,-22830,-3.63,-15680,-2.49,5.3,0.55,628980,1164950590
2020-12-28,1308,上場ＴＰＸ,,,0.25,0.0136,0.9946,3.8,165600,1835,5,100,0,100,100,1500,165700,-165600,-23.81,1500,0.22,67.9,0.00,695600,1273214200
2020-12-28,1309,ＮＦ中国株上証５０,注喚,,,,,200,0,42350,,30,98,658,3,71,658,0,0,0,0,29.1,1.00,514,21712100
2020-12-28,1311,ＮＦＴＰＸ３０,,,0,0,0,6,70,830,5,0,0,200,0,0,270,-70,-1.82,0,0,11.7,0.74,3840,3171480
2020-12-28,1312,ＮＦＲＮ小型コア,,,25,0.1246,9.0977,80,81,20060,5,0,1,11,0,1,92,-81,-311.54,0,0,26.7,0.12,26,521690
2020-12-28,1313,ＫＯＤＥＸ２００,売禁,,,,,,,3575,,0,0,0,0,0,0,0,0,0,0,4.0,,260,931400
2020-12-28,1319,日経３００,売禁,,,,,,,335,,0,0,0,0,0,0,0,0,0,0,,,3000,1005000
2020-12-28,1320,ＥＴＦ・２２５,,,25,0.0907,6.6243,80,12092,27550,5,825,113,7837,364,117,19929,-12092,-18.79,465,0.72,24.2,0.39,64338,1767835420
2020-12-28,1321,ＮＦ日経２２５,,,25,0.0905,6.6099,80,175259,27610,5,6115,467,29833,2424,4345,205092,-175259,-103.44,7569,4.47,39.5,0.15,169431,4668819120
2020-12-28,1322,上場パンタ,売禁,,,,,,,7850,,0,120,660,0,0,0,660,56.41,-120,-10.26,20.5,,1170,9146200
2020-12-28,1323,ＮＦ南アフリカ株,,,,,,,,380,,1100,300,1600,0,0,1400,200,9.52,800,38.10,5.4,1.14,2100,800100
2020-12-28,1324,ＮＦロシア株,,,,,,,,135,,0,0,10200,100,0,600,9600,44.65,-100,-0.47,33.8,17.00,21500,2909400
2020-12-28,1325,ＮＦブラジル株,,,0,0,0,0.7,17300,171,5,700,0,19000,100,0,36300,-17300,-39.77,600,1.38,38.9,0.52,43500,7464800
2020-12-28,1326,ＳＰＤＲゴール,,,,,,,,18350,,10,0,708,0,0,0,708,2.22,10,0.03,35.1,,31847,584446900
2020-12-28,1327,ＥＡＳＹ商品,売禁,,,,,,,2901,,14,0,14,0,0,0,14,4.05,14,4.05,2.7,,346,1007367
2020-12-28,1328,ＮＦ金価格,,,,,,,,5010,,0,310,8650,10,10,420,8230,59.38,-310,-2.24,21.0,20.60,13860,69543600
2020-12-28,1329,ｉＳ２２５,,,0,0,0,80,4420,27730,5,0,48,2100,289,4,6520,-4420,-210.98,-333,-15.89,39.8,0.32,2095,58018960
2020-12-28,1330,上場２２５,,,5,0.0181,1.3182,56,69340,27690,5,0,0,2160,4860,700,71500,-69340,-313.47,-4160,-18.81,21.3,0.03,22120,610799400
2020-12-28,1332,日水,,,,,,,,420,,2400,2500,129800,0,0,1000,128800,8.38,-100,-0.01,23.2,129.80,1536400,645110400
2020-12-28,1333,マルハニチロ,,,,,,4.6,0,2206,,600,600,11900,0,0,11900,0,0,0,0,14.2,1.00,161300,355464200
2020-12-28,1343,ＮＦＪ－ＲＥＩＴ,,,2.5,0.1330,9.7126,7,81510,1879,5,3620,2630,198540,6150,75720,280050,-81510,-27.46,70560,23.77,16.5,0.71,296820,554509070
2020-12-28,1344,ＭＸＳコア３０,,,,,,,,798,,0,0,0,0,0,0,0,0,0,0,,,770,615200
2020-12-28,1345,上場Ｊリート,,,0.25,0.0141,1.0293,7.2,67100,1773,5,200,700,19300,1500,2700,86400,-67100,-60.89,700,0.64,8.3,0.22,110200,193853800
2020-12-28,1346,ＭＸＳ２２５,,,25,0.0901,6.5766,80,6859,27750,5,63,0,1259,357,20,8118,-6859,-29.22,-274,-1.17,57.4,0.16,23476,650373210
2020-12-28,1348,ＭＸＳトピクス,,,0,0,0,7,1360,1854,5,10,100,2260,60,830,3620,-1360,-3.39,680,1.70,18.3,0.62,40060,74170370
2020-12-28,1349,アジア債券,売禁,,,,,,,13020,,0,0,0,0,0,0,0,0,0,0,,,19,248070
2020-12-28,1352,ホウスイ,,,,,,,,980,,0,0,0,0,0,0,0,0,0,0,0,,400,392000
2020-12-28,1356,ＴＰダブルインバース,,,,,,,,1456,,2000,4140,41910,0,0,110,41800,14.58,-2140,-0.75,10.0,381.00,286750,418901140
2020-12-28,1357,ＮＦ日経ダブインバ,,,,,,,,520,,128285,350658,7345209,38114,0,276366,7068843,12.43,-260487,-0.46,51.2,26.58,56858491,29727519133
2020-12-28,1358,上場日経２倍,,,25,0.0976,7.1233,80,3842,25620,5,0,490,1709,761,20,5551,-3842,-36.20,-1231,-11.60,15.4,0.31,10612,269822720
2020-12-28,1360,ダブルインバース日経,,,,,,,,1265,,16240,3230,550100,73930,0,375170,174930,3.69,-60920,-1.28,21.9,1.47,4742440,6037574760
2020-12-28,1364,ｉＳＪＰＸ日経４００,,,25,0.1512,11.0405,70,49,16530,5,0,0,3,0,4,52,-49,-158.06,4,12.90,145.5,0.06,31,511910
2020-12-28,1365,大和２２５ダブル,,,0,0,0,160,1023,21170,5,1897,0,4018,1166,98,5041,-1023,-6.79,829,5.50,4.7,0.80,15070,317575410
2020-12-28,1366,大和２２５ダブルベア,,,,,,,,1357,,6250,2150,35271,0,0,117,35154,9.75,4100,1.14,13.7,301.46,360693,492101188
2020-12-28,1367,大和ＴＰＸダブル,,,,,,,,15570,,23,50,977,206,26,956,21,0.39,-207,-3.81,8.0,1.02,5437,84333810
2020-12-28,1368,大和ＴＰＸダブルベア,,,,,,,,2115,,0,1700,17691,0,0,0,17691,32.27,-1700,-3.10,34.5,,54829,116506496
2020-12-28,1369,Ｏｎｅ・日経２２５,,,,,,,,27000,,0,0,391,30,597,292,99,2.23,567,12.75,16.0,1.34,4448,119844770
2020-12-28,1375,雪国まいたけ,,,,,,,,1690,,800,0,39900,0,0,0,39900,12.68,800,0.25,81.6,,314700,536367800
2020-12-28,1376,カネコ種苗,,,,,,,,1552,,0,0,100,0,0,0,100,1.89,0,0,5.0,,5300,8224400
2020-12-28,1377,サカタのタネ,,,,,,,,3615,,300,200,900,0,0,100,800,1.36,100,0.17,8.3,9.00,59000,212814500
2020-12-28,1379,ホクト,,,0.25,0.0119,0.8711,4.2,49100,2095,5,300,0,11100,0,2200,60200,-49100,-80.89,2500,4.12,98.2,0.18,60700,127657000
2020-12-28,1380,秋川牧園,,,,,,,,1154,,0,0,6700,0,0,0,6700,131.37,0,0,,,5100,5810500
2020-12-28,1381,アクシーズ,,,,,,,,3360,,0,0,200,0,0,0,200,10.00,0,0,22.0,,2000,6699500
2020-12-28,1382,ホーブ,,,,,,,,909,,0,0,400,0,0,0,400,7.84,0,0,18.0,,5100,4633700
2020-12-28,1383,ベルグアース,,,,,,,,2149,,100,0,400,0,0,0,400,20.00,100,5.00,32.0,,2000,4298600
2020-12-28,1384,ホクリヨウ,,,,,,,,691,,0,0,64700,0,0,0,64700,862.67,0,0,25.1,,7500,5211200
2020-12-28,1385,ＵＢＳユーロ圏株５０,売禁,,,,,,,4485,,0,0,20,0,0,0,20,4.13,0,0,,,484,2178455
2020-12-28,1386,ＵＢＳ欧州株,売禁,,,,,,,8150,,0,0,0,0,0,0,0,0,0,0,,,39,317120
2020-12-28,1387,ＵＢＳユーロ圏株,注喚,,25,0.1559,11.3778,140,4,16040,5,0,0,86,0,0,90,-4,,0,,45.2,0.96,0,0
2020-12-28,1388,ＵＢＳユーロ圏小型株,売禁,,,,,,,13400,,0,0,4,0,0,0,4,200.00,0,0,,,2,26800
2020-12-28,1389,ＵＢＳ英国大型１００,注喚,,,,,,,8760,,0,0,75,4,0,10,65,21.17,-4,-1.30,10.8,7.50,307,2676220
2020-12-28,1390,ＵＢＳアジア太平洋株,売禁,,,,,,,4795,,0,44,27,0,0,0,27,24.32,-44,-39.64,4.8,,111,533675
2020-12-28,1391,ＵＢＳスイス株,注喚,,,,,120,0,2320,,0,15,25,2,0,25,0,0,-17,-13.93,11.4,1.00,122,284358
2020-12-28,1392,ＵＢＳ英国株,注喚,,,,,120,0,2340,,1,0,167,1,0,167,0,0,0,0,4.6,1.00,350,816644
2020-12-28,1393,ＵＢＳ米国株,売禁,,,,,,,38150,,0,7,0,0,0,0,0,0,-7,-9.46,1.5,,74,2802750
2020-12-28,1394,ＵＢＳ先進国株,注喚,,25,0.0864,6.3105,160,13,28920,5,0,0,5,0,0,18,-13,-54.17,0,0,,0.28,24,696370
2020-12-28,1397,ＳＭＤＡＭ　２２５,,,,,,,,27100,,0,0,0,0,0,0,0,0,0,0,,,2,53980
2020-12-28,1398,ＳＭＤＡＭ　Ｊリート,,,,,,,,1782,,0,0,0,0,0,0,0,0,0,0,,,1020,1804110
2020-12-28,1399,上場高配当低ボラ,,,,,,,,1417,,0,0,0,0,0,0,0,0,0,0,,,10,14170
2020-12-28,1400,ルーデン,,,,,,,,284,,0,1900,34800,0,0,0,34800,1.52,-1900,-0.08,158.4,,2283100,674557300
2020-12-28,1401,エムビーエス,,,,,,,,587,,0,0,6000,0,0,0,6000,16.00,0,0,86.3,,37500,21871000
2020-12-28,1407,ウエストＨＤ,,,,,,,,4770,,9900,1200,33400,300,600,11800,21600,3.63,9000,1.51,6.6,2.83,595100,2854637000
2020-12-28,1413,ヒノキヤグループ,,,,,,,,2225,,0,0,900,0,0,0,900,4.29,0,0,32.0,,21000,46399100
2020-12-28,1414,ショーボンド,,,,,,,,5030,,800,1400,14800,0,0,300,14500,15.15,-600,-0.63,20.2,49.33,95700,482591000
2020-12-28,1417,ミライトＨＤ,,,0,0,0,3.6,1500,1713,5,900,1700,8200,700,0,9700,-1500,-0.39,-1500,-0.39,9.9,0.85,388300,666213700
